Provisioning : Storage Systems : V400_B94 : Virtual Volumes - Virtual Volumes

Name,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
ESX_1F1_P_MIX,Normal,2 100 000 GiB,1 472 750 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN28_P_MIX
ESX_1F2_P_MIX,Normal,2 000 000 GiB,909 500 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN29_P_MIX
ESX_1F3_P_MIX,Normal,2 500 000 GiB,1 320 125 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN30_P_MIX
ESX_1F5C_P_VRA,Normal,2 000 000 GiB,446 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_1F5C_P
ESX_2A2_P_QUATREM_repli,Normal,1 500 000 GiB,634 125 GiB,--,ESX_LUN14_P_QUATREM.r39317
ESX_2A3_P_MAF_repli,Normal,1 600 000 GiB,664 000 GiB,--,ESX_LUN15_P_MAF.r39317
ESX_2AF6_P_MIX,Normal,2 000 000 GiB,1 376 125 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_2AF6_P_MIX
ESX_2AF7_PP_MIX,Normal,2 100 000 GiB,1 025 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_2AF7_PP_MIX
ESX_2B6_P_MIX_repli,Normal,2 000 000 GiB,1 192 000 GiB,--,ESX_LUN18_P_MIX.r39317
ESX_2B7_P_MIX_repli,Normal,2 000 000 GiB,1 479 500 GiB,--,ESX_LUN19_P_MIX.r39317
ESX_2B8_P_MIX_repli,Normal,2 000 000 GiB,1 381 000 GiB,--,ESX_LUN20_P_MIX.r39317
ESX_2BD_P_MIX_repli,Normal,2 000 000 GiB,1 279 125 GiB,--,ESX_LUN25_P_MIX.r39317
ESX_2BE_P_MIX_repli,Normal,1 500 000 GiB,862 375 GiB,--,ESX_LUN26_P_MIX.r39317
ESX_2BF_P_MIX_repli,Normal,1 500 000 GiB,781 500 GiB,--,ESX_LUN27_P_MIX.r39317
ESX_2C1B_PP_MIX_repli,Normal,2 000 000 GiB,1 521 000 GiB,--,ESX_2C1B_PP_MIX.r39317
ESX_2C3_P,Normal,2 050 000 GiB,1 269 375 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN33_P
ESX_2C4_P,Normal,2 150 000 GiB,1 674 875 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN34_P
ESX_2C28_P_VRA_repli,Normal,2 000 000 GiB,449 000 GiB,--,ESX_2C28_P_VRA.r39317
ESX_2D6A_P_XENAPP,Normal,2 000 000 GiB,75 000 GiB,ESX_77_P_XENAPP  ESX_111_P_XENAPP  ESX_81_P_XENAPP  ESX_83_P_XENAPP  ESX_73_P_XENAPP  ESX_79_P_XENAPP  ESX_105_P_XENAPP  ESX_75_P_XENAPP  ESX_71_P_XENAPP  <html><i>set:</i>ESX_P_XENAPP_B94</html>,--
ESX_2D7F_P_VRA,Normal,2 000 000 GiB,495 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_2D7F_P_VRA
ESX_2E0A_P_MIX,Normal,2 000 000 GiB,1 212 625 GiB,ESX_95_P_LIC  ESX_62_P_LIC  ESX_57_P_LIC  <html><i>set:</i>ESX_P_LIC_B94</html>,ESX_2E0A_P_MIX
ESX_2E0B_P_MIX,Normal,2 000 000 GiB,1 377 000 GiB,ESX_95_P_LIC  ESX_62_P_LIC  ESX_57_P_LIC  <html><i>set:</i>ESX_P_LIC_B94</html>,ESX_2E0B_P_MIX
ESX_2E0C_P_MIX,Normal,2 000 000 GiB,481 000 GiB,ESX_95_P_LIC  ESX_62_P_LIC  ESX_57_P_LIC  <html><i>set:</i>ESX_P_LIC_B94</html>,ESX_2E0C_P_MIX
ESX_2E4A_P_VRA,Normal,2 000 000 GiB,376 500 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_2E4A_P_VRA
ESX_2E05_P_VRA,Normal,2 000 000 GiB,423 250 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_2E05_P_VRA
ESX_2EC_PP,Normal,2 000 000 GiB,1 140 875 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN36_PP
ESX_2EF8_P_OFFICE_365,Normal,3 700 000 GiB,993 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,--
ESX_2EFB_P_OFFICE_365,Normal,3 700 000 GiB,1 121 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,--
ESX_2F0_P_OMNIREP,Normal,1 500 000 GiB,518 875 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN40_P_OMNIREP
ESX_2F1_P_OMNIREP,Normal,1 500 000 GiB,1 104 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN41_P_OMNIREP
ESX_2F2_P_MIX,Normal,1 500 000 GiB,815 500 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN42_P_MIX
ESX_2F2C_P_MIX_repli,Normal,2 000 000 GiB,1 089 000 GiB,--,ESX_2F2C_P_MIX.r39317
ESX_2F2D_P_MIX_repli,Normal,3 000 000 GiB,2 529 000 GiB,--,ESX_2F2D_P_MIX.r39317
ESX_2F2E_P_MIX_repli,Normal,2 000 000 GiB,1 277 000 GiB,--,ESX_2F2E_P_MIX.r39317
ESX_2F2F_P_MIX_repli,Normal,3 000 000 GiB,369 000 GiB,--,ESX_2F2F_P_MIX.r39317
ESX_2F8_P_dataplaceholder,Normal,2 000 GiB,2 000 GiB,ESX_91_P  ESX_129_P  ESX_127_P  ESX_125_P  ESX_123_P  ESX_65_P  ESX_89_P  ESX_121_P  ESX_101_P  ESX_143_P  ESX_141_P  ESX_85_P  ESX_95_P_LIC  ESX_119_P  ESX_115_P  ESX_139_P  ESX_137_P  ESX_99_P  ESX_135_P  ESX_97_P  ESX_133_P  ESX_153_P  ESX_131_P  ESX_151_P  ESX_93_P  ESX_62_P_LIC  ESX_57_P_LIC  <html><i>set:</i>ESX_P_LIC_B94</html>  <html><i>set:</i>ESX_P_B94</html>,--
ESX_2F29_P_VRA_repli,Normal,2 000 000 GiB,555 875 GiB,--,ESX_2F29_P_VRA.r39317
ESX_2F40_P_VRA_repli,Normal,2 000 000 GiB,473 125 GiB,--,ESX_2F40_P_VRA.r39317
ESX_2F44_P_VRA_repli,Normal,2 000 000 GiB,450 125 GiB,--,ESX_2F44_P_VRA.r39317
ESX_2F59_P_VRA_repli,Normal,2 000 000 GiB,437 750 GiB,--,ESX_2F59_P_VRA.r39317
ESX_2FD_P_MIX,Normal,2 100 000 GiB,953 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN52_P_MIX
ESX_2FE_P_MIX,Normal,1 500 000 GiB,767 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN53_P_MIX
ESX_2FF7_P_MIX,Normal,3 000 000 GiB,1 254 875 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_2FF7_P_MIX
ESX_2FF_P_MIX,Normal,2 000 000 GiB,1 630 875 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN54_P_MIX
ESX_3AF_DMZ_P_repli,Normal,750 000 GiB,361 875 GiB,--,ESX_LUN35_DMZ_P.r39317
ESX_3B1_P_repli,Normal,1 500 000 GiB,1 004 875 GiB,--,ESX_LUN37_P.r39317
ESX_3B4_PP_MIX_repli,Normal,1 500 000 GiB,752 375 GiB,--,ESX_LUN38_PP_MIX.r39317
ESX_3B6_PP_repli,Normal,1 500 000 GiB,802 500 GiB,--,ESX_LUN39_PP.r39317
ESX_3BA_P_MIX_repli,Normal,2 000 000 GiB,1 215 875 GiB,--,ESX_LUN43_P_MIX.r39317
ESX_3BB_PP_ASS_repli,Normal,3 000 000 GiB,605 000 GiB,--,ESX_LUN44_PP_ASS.r39317
ESX_3BC_P_MIX_repli,Normal,1 550 000 GiB,922 375 GiB,--,ESX_LUN45_P_MIX.r39317
ESX_3C0_P_MIX_repli,Normal,2 100 000 GiB,1 441 750 GiB,--,ESX_LUN50_P_MIX.r39317
ESX_3C1_P_MIX_repli,Normal,2 100 000 GiB,1 074 750 GiB,--,ESX_LUN51_P_MIX.r39317
ESX_3C8_P_MIX_repli,Normal,1 500 000 GiB,527 000 GiB,--,ESX_LUN56_P_MIX.r39317
ESX_3C9_P_MIX_repli,Normal,2 000 000 GiB,1 277 000 GiB,--,ESX_LUN57_P_MIX.r39317
ESX_3CA_P_MIX_repli,Normal,1 500 000 GiB,842 625 GiB,--,ESX_LUN58_P_MIX.r39317
ESX_3CB_P_MIX_repli,Normal,2 100 000 GiB,975 000 GiB,--,ESX_LUN59_P_MIX.r39317
ESX_3CC_P_MIX_repli,Normal,2 000 000 GiB,956 375 GiB,--,ESX_LUN61_P_MIX.r39317
ESX_3CD_P_MIX_repli,Normal,1 500 000 GiB,1 017 250 GiB,--,ESX_LUN62_P_MIX.r39317
ESX_3CE_P_MIX_repli,Normal,1 600 000 GiB,700 000 GiB,--,ESX_LUN63_P_MIX.r39317
ESX_4EB_DMZ_P_MIX,Normal,2 000 000 GiB,951 000 GiB,ESX_103_P_DMZ  ESX_03_P_DMZ  ESX_101_P_DMZ,ESX_LUN83_DMZ_P_MIX
ESX_4EC_DMZ_P_MIX,Normal,1 500 000 GiB,349 000 GiB,ESX_103_P_DMZ  ESX_03_P_DMZ  ESX_101_P_DMZ,ESX_LUN84_DMZ_P_MIX
ESX_4ED_DMZ_P_MIX,Normal,1 500 000 GiB,349 000 GiB,ESX_103_P_DMZ  ESX_03_P_DMZ  ESX_101_P_DMZ,ESX_LUN85_DMZ_P_MIX
ESX_4EE_DMZ_R_MIX,Normal,750 000 GiB,176 000 GiB,ESX_103_P_DMZ  ESX_03_P_DMZ  ESX_101_P_DMZ,--
ESX_5BF_DMZ_P_MIX_repli,Normal,1 000 000 GiB,547 250 GiB,--,ESX_LUN79_DMZ_P_MIX.r39317
ESX_5C0_DMZ_P_MIX_repli,Normal,1 500 000 GiB,353 000 GiB,--,ESX_LUN80_DMZ_P_MIX.r39317
ESX_5C2_DMZ_P_MIX_repli,Normal,1 050 000 GiB,710 000 GiB,--,ESX_LUN82_DMZ_P_MIX.r39317
ESX_5D1_ROOT_BULLION,Normal,10 000 GiB,2 000 GiB,ESX_200_P_BULLION,--
ESX_5F2_P_MIX_repli,Normal,1 600 000 GiB,905 000 GiB,--,ESX_LUN86_P_MIX.r39317
ESX_6BF_P_VDI,Normal,1 000 000 GiB,449 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN99_P_VDI
ESX_6CD_P_MIX_repli,Normal,1 500 000 GiB,1 297 500 GiB,--,ESX_LUN94_P_MIX.r39317
ESX_7F4_P_MIX,Normal,1 500 000 GiB,492 500 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN102_P_MIX
ESX_8FC_PP_MIX_repli,Normal,1 500 000 GiB,787 000 GiB,--,ESX_LUN103_PP_MIX.r39317
ESX_8FD_PP_MIX_repli,Normal,2 000 000 GiB,1 361 000 GiB,--,ESX_LUN104_PP_MIX.r39317
ESX_11AC_PP_MIX,Normal,2 000 000 GiB,471 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_11AC_PP_MIX
ESX_12A2_P_BULLION,Normal,5 000 000 GiB,3 792 750 GiB,ESX_200_P_BULLION,ESX_12A2_P
ESX_12A2_P_BULLION_A_CONSERVER,Normal,5 000 000 GiB,1 606 000 GiB,--,--
ESX_12A_P_MIX,Normal,2 150 000 GiB,1 097 125 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN5_P_MIX
ESX_12C8_P_repli,Normal,1 550 000 GiB,1 311 750 GiB,--,ESX_12C8_P.r39317
ESX_12FC_PP_repli,Normal,2 000 000 GiB,1 137 625 GiB,--,ESX_12FC_PP.r39317
ESX_13E6_P_MIX,Normal,2 000 000 GiB,821 500 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_13E6_P_MIX
ESX_14EB_P_BULLION_repli,Normal,1 500 000 GiB,440 500 GiB,--,ESX_14EB_P_BULLION.r39317
ESX_14EC_P_BULLION_repli,Normal,2 048 000 GiB,704 500 GiB,--,ESX_14EC_P_BULLION.r39317
ESX_14ED_P_BULLION_repli,Normal,3 072 000 GiB,3 004 875 GiB,--,ESX_14ED_P_BULLION.r39317
ESX_27F_P_repli,Normal,1 500 000 GiB,1 051 250 GiB,--,ESX_LUN9_P.r39317
ESX_33BF_DMZ_P_OFFICE_365_rep,Normal,2 000 000 GiB,81 000 GiB,--,ESX_33BF_DMZ_P_OFFICE.r39317
ESX_33D2_P_MIX,Normal,2 000 000 GiB,81 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_33D2_P_MIX
ESX_33D6_P_BULLION,Normal,2 000 000 GiB,32 375 GiB,ESX_200_P_BULLION,ESX_33D6_P_BULLION
ESX_33D7_PP_BULLION,Normal,2 000 000 GiB,48 375 GiB,ESX_200_P_BULLION,ESX_33D7_PP_BULLION
ESX_33DB_P_VRA_repli,Normal,2 000 000 GiB,289 000 GiB,--,ESX_33DB_P_VRA.r39317
ESX_47F_PP_MIX_repli,Normal,3 000 000 GiB,2 488 750 GiB,--,ESX_47F_PP_MIX.r39317
ESX_61C_P_MIX,Normal,2 150 000 GiB,1 250 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN95_P_MIX
ESX_61D_P_MIX,Normal,2 050 000 GiB,1 345 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN96_P_MIX
ESX_67A_PP_MIX_repli,Normal,2 000 000 GiB,978 750 GiB,--,ESX_LUN90_PP_MIX.r39317
ESX_67B_PP_MIX_repli,Normal,2 000 000 GiB,747 500 GiB,--,ESX_LUN91_PP_MIX.r39317
ESX_67C_PP_MIX_repli,Normal,2 100 000 GiB,636 000 GiB,--,ESX_LUN92_PP_MIX.r39317
ESX_75C_P,Normal,2 100 000 GiB,874 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN100_P
ESX_92E_P_MIX,Normal,1 550 000 GiB,594 000 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN108_P_MIX
ESX_072_PP_MIX_repli,Normal,2 000 000 GiB,889 000 GiB,--,ESX_072_PP.r39317
ESX_125E_ESX200_A_CONSERVER,Normal,2 000 000 GiB,532 000 GiB,--,--
ESX_125E_P_BULLION,Normal,2 000 000 GiB,722 000 GiB,ESX_200_P_BULLION,ESX_125E_P
ESX_126_P,Normal,2 100 000 GiB,1 006 250 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN2_P
ESX_129_P_ASS,Normal,1 500 000 GiB,788 375 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN4_P_ASS
