Provisioning : Storage Systems : A92_T400 : Virtual Volumes - Virtual Volumes

Name,Set,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
AIXGPRCR1_01_A_SUPP,--,Normal,30 000 GiB,15 000 GiB,AIX_GPR_CR_A_SUPP,--
AIXGPRCR1_02_A_SUPP,--,Normal,140 000 GiB,72 000 GiB,AIX_GPR_CR_A_SUPP,--
AIXNIMPA1_rootvg,--,Normal,50 000 GiB,37 000 GiB,AIX_NIM_PA1,--
AIXNIMPA1_01,--,Normal,500 000 GiB,411 000 GiB,AIX_NIM_PA1,--
AIXNIMPA1_02,--,Normal,200 000 GiB,43 000 GiB,AIX_NIM_PA1,--
AIXNIM1_01,--,Normal,50 000 GiB,36 000 GiB,AIX_NIMA1,--
AIXNIM1_02,--,Normal,250 000 GiB,239 000 GiB,AIX_NIMA1,--
AIXNIM1_03,--,Normal,320 000 GiB,304 000 GiB,AIX_NIMA1,--
AIXNIM1_06,--,Normal,500 000 GiB,489 000 GiB,AIX_NIMA1,--
AIXNIM1_07,--,Normal,550 000 GiB,543 000 GiB,AIX_NIMA1,--
AIXRETT_03,--,Normal,175 000 GiB,141 000 GiB,AIX_RET_T,--
AIXRETT_04,--,Normal,200 000 GiB,192 000 GiB,AIX_RET_T,--
AIXRETT_05,--,Normal,175 000 GiB,144 000 GiB,AIX_RET_T,--
AIXRETT_06,--,Normal,200 000 GiB,67 000 GiB,AIX_RET_T,--
AIXRETT_07,--,Normal,200 000 GiB,171 500 GiB,AIX_RET_T,--
AIXRETT_08,--,Normal,200 000 GiB,75 375 GiB,AIX_RET_T,--
AIXRETT_09,--,Normal,200 000 GiB,32 375 GiB,AIX_RET_T,--
AIXRETT_10,--,Normal,200 000 GiB,62 000 GiB,AIX_RET_T,--
AIXRETT_11,--,Normal,200 000 GiB,59 625 GiB,AIX_RET_T,--
AIXRETT_12,--,Normal,200 000 GiB,107 000 GiB,AIX_RET_T,--
AIXRETT_13,--,Normal,128 000 GiB,122 000 GiB,AIX_RET_T,--
AIXRETT_14,--,Normal,128 000 GiB,124 000 GiB,AIX_RET_T,--
AIXRETT_15,--,Normal,128 000 GiB,12 000 GiB,AIX_RET_T,--
AIXRETT_16,--,Normal,40 000 GiB,37 000 GiB,AIX_RET_T,--
AIXRETT_17,--,Normal,170 000 GiB,52 000 GiB,AIX_RET_T,--
AIXRETT_18,--,Normal,50 000 GiB,11 000 GiB,AIX_RET_T,--
AIXRETT_19,--,Normal,200 000 GiB,143 000 GiB,AIX_RET_T,--
AIXRETT_20,--,Normal,50 000 GiB,33 000 GiB,AIX_RET_T,--
AIXSASRC_ROOTVG,--,Normal,30 000 GiB,17 000 GiB,AIX_SAS_RC,--
AIXSASRC_SASWORKVG,--,Normal,150 000 GiB,143 875 GiB,AIX_SAS_RC,--
AIXSASRC_OSCARADHPARVG,--,Normal,400 000 GiB,183 000 GiB,AIX_SAS_RC,--
AIXSASRC_SASVG,--,Normal,80 000 GiB,61 000 GiB,AIX_SAS_RC,--
AIXSASRC_SACVG,--,Normal,508 000 GiB,324 000 GiB,AIX_SAS_RC,--
AIXSASRC_OSCARALLOC,--,Normal,400 000 GiB,285 000 GiB,AIX_SAS_RC,--
AIXSASRC_ARCHIVEvg,--,Normal,650 000 GiB,588 000 GiB,AIX_SAS_RC,--
AIXUPRCF_01_A_SUPP,--,Normal,30 000 GiB,17 000 GiB,AIX_UPRC_F_A_SUPP,--
AIXUPRCF_02_A_SUPP,--,Normal,30 000 GiB,19 000 GiB,AIX_UPRC_F_A_SUPP,--
AIXUPRCF_03_A_SUPP,--,Normal,30 000 GiB,25 000 GiB,AIX_UPRC_F_A_SUPP,--
AIXUPRCF_04_A_SUPP,--,Normal,30 000 GiB,31 000 GiB,AIX_UPRC_F_A_SUPP,--
AIXUPRCF_05_A_SUPP,--,Normal,30 000 GiB,31 000 GiB,AIX_UPRC_F_A_SUPP,--
AIXUPRCF_06_A_SUPP,--,Normal,350 000 GiB,184 000 GiB,AIX_UPRC_F_A_SUPP,--
AIXUPRCR_01,--,Normal,50 000 GiB,13 000 GiB,AIX_UPRC_R,--
AIXUPRCR_02,--,Normal,30 000 GiB,19 000 GiB,AIX_UPRC_R,--
AIXUPRCR_03,--,Normal,30 000 GiB,14 000 GiB,AIX_UPRC_R,--
AIXUPRCR_04,--,Normal,30 000 GiB,31 000 GiB,AIX_UPRC_R,--
AIXUPRCR_05,--,Normal,30 000 GiB,10 000 GiB,AIX_UPRC_R,--
AIXUPRCR_06,--,Normal,50 000 GiB,4 000 GiB,AIX_UPRC_R,--
AIXUR4C1_DATAVG,--,Normal,30 000 GiB,14 000 GiB,AIX_UR_4C1,--
AIXUR4C1_ROOTVG,--,Normal,30 000 GiB,12 000 GiB,AIX_UR_4C1,--
AIXUR711_01,--,Normal,30 000 GiB,17 000 GiB,AIX_UR_711,--
AIXUR711_DATAVG,--,Normal,30 000 GiB,1 000 GiB,AIX_UR_711,--
AIXUR721_01,--,Normal,50 000 GiB,22 000 GiB,AIX_UR_721,--
